head	relation	tail
C0976398	subgroupOf	C0700579
C0712047	subgroupOf	C0286738
C0973794	subgroupOf	C0000983
C0709248	subgroupOf	C0169964
C1532846	subgroupOf	C0657912
C0978069	subgroupOf	C0064582
C0773970	subgroupOf	C0065864
C2370551	subgroupOf	C0060179
C0981594	subgroupOf	C0025826
C1615082	subgroupOf	C0065879
C0980015	subgroupOf	C0356649
C0352329	subgroupOf	C0020268
C0974168	subgroupOf	C0002335
C0981517	subgroupOf	C0700580
C0975376	subgroupOf	C0007557
C0688454	subgroupOf	C0010961
C0977679	subgroupOf	C0600110
C2702455	subgroupOf	C0011777
C0981791	subgroupOf	C0700468
C0980864	subgroupOf	C0041090
C3888382	subgroupOf	C0299792
C0980542	subgroupOf	C0546879
C0714073	subgroupOf	C0032857
C0775281	subgroupOf	C0600901
C2700744	subgroupOf	C2351042
C1168861	subgroupOf	C0052761
C4282232	subgroupOf	C0042291
C0688310	subgroupOf	C0008287
C0979191	subgroupOf	C0055578
C0979948	subgroupOf	C0034665
C0978298	subgroupOf	C0065512
C1724678	subgroupOf	C0169964
C0776212	subgroupOf	C0027324
C0358131	subgroupOf	C0022625
C0689119	subgroupOf	C0020268
C0691137	subgroupOf	C0004057
C0974234	subgroupOf	C0002575
C0690604	subgroupOf	C0040374
C0981750	subgroupOf	C0039771
C1177125	subgroupOf	C0020281
C0981295	subgroupOf	C0546851
C0976579	subgroupOf	C0013530
C0692264	subgroupOf	C0025872
C0977340	subgroupOf	C0120447
C0974945	subgroupOf	C0005308
C0936051	subgroupOf	C0064636
C0980235	subgroupOf	C0037494
C0691189	subgroupOf	C0005059
C0981338	subgroupOf	C0355077
C0709778	subgroupOf	C0039771
C0982789	subgroupOf	C0282227
C1877609	subgroupOf	C0354872
C0704129	subgroupOf	C0035527
C1165135	subgroupOf	C0299792
C0974278	subgroupOf	C0700523
C0978949	subgroupOf	C0132326
C0688369	subgroupOf	C0546859
C0690254	subgroupOf	C0072828
C0982868	subgroupOf	C0074280
C1164336	subgroupOf	C0058731
C0355708	subgroupOf	C0042291
C1572614	subgroupOf	C0102840
C3853665	subgroupOf	C0008846
C2718509	subgroupOf	C0015846
C1586911	subgroupOf	C0039267
C1164886	subgroupOf	C4083129
C1572085	subgroupOf	C0355077
C1629908	subgroupOf	C1144149
C0691430	subgroupOf	C0060277
C1338559	subgroupOf	C0282210
C0977940	subgroupOf	C0022176
C0782175	subgroupOf	C0008402
C0872818	subgroupOf	C0872971
C0976595	subgroupOf	C0700452
C0709757	subgroupOf	C0039771
C0979430	subgroupOf	C0148932
C0976720	subgroupOf	C0014806
C0689323	subgroupOf	C0023413
C0774542	subgroupOf	C0356649
C3162412	subgroupOf	C0257685
C4019664	subgroupOf	C2827241
C4059406	subgroupOf	C0700549
C1165060	subgroupOf	C0674428
C3504784	subgroupOf	C2698764
C0979909	subgroupOf	C0282330
C3857227	subgroupOf	C0060231
C3554853	subgroupOf	C2974540
C2346382	subgroupOf	C0724666
C0981691	subgroupOf	C0772054
C0975085	subgroupOf	C0700525
C4270884	subgroupOf	C0058731
C0773582	subgroupOf	C0042845
C0795227	subgroupOf	C0002144
C0874901	subgroupOf	C0357797
C1562857	subgroupOf	C0042845
C2917471	subgroupOf	C0064326
C0974671	subgroupOf	C0052796
C3474286	subgroupOf	C2697942
C4082920	subgroupOf	C0700545
C0979816	subgroupOf	C0546876
C0979821	subgroupOf	C0546876
C1177631	subgroupOf	C0700451
C1572413	subgroupOf	C0937950
C0982808	subgroupOf	C0027368
C1813144	subgroupOf	C0011705
C0706958	subgroupOf	C0008947
C0976204	subgroupOf	C0350422
C4282624	subgroupOf	C0024002
C1813325	subgroupOf	C0011705
C2948697	subgroupOf	C1876200
C0979061	subgroupOf	C0028420
C0874721	subgroupOf	C0026289
C0977031	subgroupOf	C0733440
C3205198	subgroupOf	C0008318
C3249129	subgroupOf	C0699440
C1329148	subgroupOf	C0937950
C0774779	subgroupOf	C0043491
C1329590	subgroupOf	C0700579
C2718518	subgroupOf	C0015846
C0973747	subgroupOf	C0000970
C0976671	subgroupOf	C0014563
C0980693	subgroupOf	C0040123
C0980973	subgroupOf	C0700468
C4073751	subgroupOf	C0281351
C0981666	subgroupOf	C0070592
C0691953	subgroupOf	C0149381
C0687828	subgroupOf	C0051556
C1590956	subgroupOf	C0304430
C0688453	subgroupOf	C0010961
C0978575	subgroupOf	C0025729
C0974567	subgroupOf	C0003968
C0979319	subgroupOf	C0164815
C2364493	subgroupOf	C0039623
C4282632	subgroupOf	C0774140
C4049074	subgroupOf	C0282210
C0874811	subgroupOf	C0282369
C0774477	subgroupOf	C0004261
C0691233	subgroupOf	C0006644
C1639157	subgroupOf	C0937846
C0688599	subgroupOf	C0012228
C0980504	subgroupOf	C0039543
C0704929	subgroupOf	C0004057
C2731298	subgroupOf	C0066814
C0691162	subgroupOf	C0052657
C0978215	subgroupOf	C0663241
C1816128	subgroupOf	C0009217
C1828651	subgroupOf	C0127615
C0976130	subgroupOf	C0074757
C0688843	subgroupOf	C0015137
C0980539	subgroupOf	C0304456
C0979237	subgroupOf	C0030092
C0794688	subgroupOf	C0064636
C4048717	subgroupOf	C0210657
C0976093	subgroupOf	C0282125
C0690687	subgroupOf	C0041165
C0692635	subgroupOf	C0292818
C0590817	subgroupOf	C0076829
C0688670	subgroupOf	C0013085
C0980666	subgroupOf	C0039925
C0594368	subgroupOf	C0254119
C1168866	subgroupOf	C0962603
C0976464	subgroupOf	C0058445
C0980066	subgroupOf	C0036071
C4473866	subgroupOf	C0526371
C0780666	subgroupOf	C0289884
C0978326	subgroupOf	C0126789
C0358176	subgroupOf	C0144004
C1877401	subgroupOf	C0061347
C0774326	subgroupOf	C0030873
C1321293	subgroupOf	C0087000
C3255419	subgroupOf	C0015846
C0781696	subgroupOf	C0038745
C0776371	subgroupOf	C0008168
C1532852	subgroupOf	C0657912
C0690406	subgroupOf	C0012384
C0975759	subgroupOf	C0009079
C0705629	subgroupOf	C0038774
C0690494	subgroupOf	C0039771
C1618102	subgroupOf	C0036079
C0978597	subgroupOf	C0025840
C0979799	subgroupOf	C0033399
C0976969	subgroupOf	C0016351
C2684747	subgroupOf	C1176308
C0694160	subgroupOf	C0298130
C1363200	subgroupOf	C2350089
C0354184	subgroupOf	C0700442
C0691765	subgroupOf	C0304430
C0991639	subgroupOf	C0102840
C0688616	subgroupOf	C0012319
C0980544	subgroupOf	C0546879
C1532137	subgroupOf	C0023566
