head_UMLS_CUI	relation	tail_UMLS_CUI
C0018824	CTD	C0043031
C0242698	CTD	C0055723
C0023903	CTD	C0021756
C0036572	CTD	C0016410
C0020542	CTD	C0021246
C0029944	CTD	C0009079
C0000981	CTD	C0027854
C0001962	CTD	C0025261
C0024002	CTD	C0025261
C0012963	CTD	C0003507
C0027996	CTD	C0273115
C0002598	CTD	C0273115
C0022625	CTD	C0040261
C0039644	CTD	C0015695
C0033487	CTD	C0015695
C0001962	CTD	C0015695
C0004057	CTD	C0015695
C0042523	CTD	C0018794
C0012582	CTD	C0020649
C0000970	CTD	C0020649
C0015131	CTD	C0020649
C0065374	CTD	C0020649
C0002644	CTD	C0020649
C0074414	CTD	C0020649
C0022252	CTD	C0020649
C0038627	CTD	C0020649
C0033487	CTD	C0522224
C0001962	CTD	C0522224
C0001962	CTD	C0021368
C0023870	CTD	C0021368
C0127615	CTD	C0021368
C0541315	CTD	C0041341
C0302583	CTD	C0020619
C0014563	CTD	C0020456
C0005308	CTD	C0020456
C0000970	CTD	C0033774
C0012091	CTD	C0033774
C0040233	CTD	C0007222
C0012582	CTD	C0018799
C0033487	CTD	C0018799
C0012373	CTD	C0018799
C0009170	CTD	C0018799
C0120107	CTD	C0014175
C0027996	CTD	C0027651
C0014563	CTD	C0007786
C0042291	CTD	C0235032
C0001962	CTD	C0235032
C0302583	CTD	C0024523
C0004482	CTD	C0024523
C0065374	CTD	C0033687
C0074414	CTD	C0033687
C0001962	CTD	C0030297
C0011145	CTD	C0039730
C0039644	CTD	C0011991
C0039644	CTD	C0035854
C0028066	CTD	C0003504
C0009170	CTD	C0025289
C0012091	CTD	C0014118
C0035661	CTD	C0022876
C0039771	CTD	C0032285
C0074722	CTD	C0020461
C0042523	CTD	C0020461
C0038627	CTD	C0020461
C0027996	CTD	C0002395
C0025644	CTD	C0013575
C0001047	CTD	C0010674
C0042105	CTD	C0010674
C0012963	CTD	C0242698
C0012373	CTD	C0242698
C0028040	CTD	C0040336
C0039542	CTD	C0002726
C0022209	CTD	C0085605
C0033487	CTD	C0085605
C0002598	CTD	C0085605
C0004057	CTD	C0948089
C0031923	CTD	C0017601
C2746078	CTD	C0029927
C0246421	CTD	C0029927
C0039644	CTD	C0027497
C0002679	CTD	C0027497
C0033487	CTD	C0027497
C0012091	CTD	C0027497
C0376637	CTD	C0027497
C0009170	CTD	C0027497
C0000981	CTD	C0027497
C0002598	CTD	C0027497
C0012582	CTD	C0003811
C0074722	CTD	C0003811
C0006400	CTD	C0003811
C0014563	CTD	C0003811
C0012373	CTD	C0003811
C0042523	CTD	C0003811
C0009170	CTD	C0003811
C0001927	CTD	C0003811
C0038627	CTD	C0003811
C0032825	CTD	C0003811
C0016365	CTD	C0033046
C2987417	CTD	C0027022
C0040341	CTD	C0006267
C0005308	CTD	C0011603
C0085170	CTD	C0018621
C0033487	CTD	C0520909
C0027996	CTD	C0022346
C0000970	CTD	C0030201
C0033487	CTD	C0030201
C0014563	CTD	C0030201
C0034665	CTD	C0018790
C0042523	CTD	C0018790
C0009010	CTD	C0015967
C0065374	CTD	C0015967
C0010711	CTD	C0015967
C0018549	CTD	C0015967
C0009170	CTD	C0015967
C0039771	CTD	C0023448
C0014563	CTD	C0042109
C0022209	CTD	C0011609
C0042523	CTD	C1458155
C0042291	CTD	C0020542
C0164662	CTD	C0023787
C0010711	CTD	C0024299
C0039644	CTD	C0002878
C0376637	CTD	C0002878
C0002598	CTD	C0023890
C0042291	CTD	C0525041
C0031923	CTD	C0018800
C0002598	CTD	C0018800
C0012963	CTD	C0036974
C0014563	CTD	C0036974
C0022625	CTD	C0010481
C0009262	CTD	C0031069
C0012373	CTD	C0019158
C0018549	CTD	C0019158
C0031923	CTD	C0017612
C0014563	CTD	C0017612
C0042291	CTD	C0032343
C0012582	CTD	C0027720
C0065374	CTD	C0027720
C0064113	CTD	C0040247
C0020823	CTD	C0039590
C0033487	CTD	C0014544
C0023870	CTD	C0014544
C0015131	CTD	C0030193
C0004057	CTD	C0030193
C0002598	CTD	C0030193
C0012963	CTD	C0018801
C0033487	CTD	C0018801
C0004057	CTD	C0018801
C0002598	CTD	C0018801
C0012091	CTD	C0041834
C0001962	CTD	C0013604
C0005308	CTD	C0013604
C0039542	CTD	C0006277
C0039771	CTD	C0019080
C0016860	CTD	C0019080
C0014563	CTD	C0019080
C0002598	CTD	C0019080
C0034665	CTD	C0024141
C0004057	CTD	C0024141
C0015131	CTD	C0013384
C0039771	CTD	C0020621
C0040233	CTD	C0020621
C0035661	CTD	C0020621
C0031923	CTD	C0028840
C0012373	CTD	C0028840
C0011777	CTD	C0001627
C0012373	CTD	C0007194
C0042523	CTD	C0007194
C0042291	CTD	C0002871
C0004057	CTD	C0002871
C0002679	CTD	C0022658
C0012091	CTD	C0022658
C0065374	CTD	C0022658
C0009170	CTD	C0022658
C0006976	CTD	C0022658
C0020823	CTD	C0022658
C0006376	CTD	C0022658
C0020268	CTD	C0013595
C0042523	CTD	C0009806
C0001962	CTD	C0038587
C0042291	CTD	C0036572
C0034665	CTD	C0036572
C0023870	CTD	C0036572
C0027353	CTD	C0036572
C0010711	CTD	C0036572
C0030827	CTD	C0036572
C0012963	CTD	C0039231
C0014563	CTD	C0039231
C0004057	CTD	C0010068
C0042523	CTD	C0010068
C0657912	CTD	C0016053
C0538927	CTD	C0016053
C0001962	CTD	C0428977
C0023870	CTD	C0428977
C0022252	CTD	C0428977
C0023870	CTD	C0015230
C0002598	CTD	C0015230
C0012010	CTD	C0022353
C0012091	CTD	C0042035
C0004057	CTD	C0021308
C0002679	CTD	C0023895
C0012373	CTD	C0023895
C0033487	CTD	C0042963
C0015131	CTD	C0042963
C0018549	CTD	C0042963
C0074414	CTD	C0042963
C0020823	CTD	C0042963
C0292818	CTD	C0242339
C0014563	CTD	C0016470
C0034665	CTD	C0014868
C0023870	CTD	C0033860
C0015837	CTD	C0038013
C0025815	CTD	C0039483
C0016860	CTD	C0003962
C0039542	CTD	C0085129
C0034272	CTD	C0005745
C0042291	CTD	C0005941
C0023870	CTD	C0004936
C0039771	CTD	C0020438
C0012582	CTD	C0004238
C0001962	CTD	C0004238
C0040233	CTD	C0004238
C0001927	CTD	C0004238
C0022209	CTD	C0042384
C0016860	CTD	C0042384
C0009170	CTD	C0042384
C0014563	CTD	C0042790
C0052796	CTD	C0008149
C0002679	CTD	C0877445
C0001962	CTD	C0001430
C0012373	CTD	C0032915
C0002598	CTD	C0020676
C0020823	CTD	C0017416
C0001962	CTD	C0020458
C0042291	CTD	C0027794
C0001962	CTD	C0017152
C0004057	CTD	C0151699
C0009170	CTD	C0151699
C0006400	CTD	C0027873
C0012582	CTD	C0038454
C0012963	CTD	C0042510
C0042523	CTD	C0042510
C0001962	CTD	C0000768
C0001962	CTD	C0035243
C0001927	CTD	C0035243
C0302583	CTD	C0282193
C0011145	CTD	C0282193
C0025815	CTD	C0002895
C0039644	CTD	C0026846
C0039771	CTD	C0035410
C0033487	CTD	C0035410
C0001962	CTD	C0035410
C0038627	CTD	C0035410
C0000970	CTD	C0035228
C0022322	CTD	C0018889
C0039542	CTD	C0020538
C0000970	CTD	C0020538
C0001927	CTD	C0020538
C0074414	CTD	C0020538
C0010711	CTD	C0007097
C0673093	CTD	C0268631
C0039771	CTD	C0020437
C0012091	CTD	C0000737
C0008269	CTD	C0024537
C0042291	CTD	C0020672
C0031923	CTD	C0020672
C0001962	CTD	C0020672
C0012582	CTD	C0040053
C0014563	CTD	C0040053
C0004057	CTD	C0040053
C0024730	CTD	C0025286
C0012963	CTD	C0007193
C0002679	CTD	C0007193
C0016860	CTD	C0007193
C0001927	CTD	C0007193
C0018546	CTD	C0877792
C0012091	CTD	C0035435
C0020823	CTD	C0024305
C0004057	CTD	C0398623
C0023870	CTD	C0020615
C0030827	CTD	C0023530
C0020823	CTD	C0023530
C0032950	CTD	C0042164
C0035525	CTD	C0019196
C0026549	CTD	C0019196
C0032950	CTD	C0242966
C0020268	CTD	C0242966
C0012373	CTD	C0002962
C0127615	CTD	C0030305
C0000981	CTD	C0553604
C0023870	CTD	C0006111
C0010711	CTD	C0006111
C0002598	CTD	C0006111
C0020823	CTD	C0006111
C0002679	CTD	C0007684
C0000970	CTD	C0009676
C0000970	CTD	C0003873
C0018801	CTD	C0053091
C0024299	CTD	C0028128
C0026848	CTD	C0010286
C0001430	CTD	C0053251
C0021390	CTD	C0073374
C0020456	CTD	C0014025
C0030193	CTD	C0015846
C0022658	CTD	C0003968
C0022658	CTD	C0025859
C0242422	CTD	C0013030
C0027651	CTD	C0002563
C0022658	CTD	C0042874
C0400966	CTD	C0005330
C0024299	CTD	C0006674
C0018799	CTD	C0031469
C0030807	CTD	C0004482
C0030193	CTD	C0025376
C1458155	CTD	C0144576
C0011777	CTD	C0027854
C0030817	CTD	C0027854
C0016365	CTD	C0027854
C0060926	CTD	C0027854
C0025677	CTD	C0027854
C0015846	CTD	C0027854
C0025853	CTD	C0027854
C0023660	CTD	C0027854
C0026056	CTD	C0027854
C0030350	CTD	C0027854
C0074414	CTD	C0025261
C0015131	CTD	C0025261
C0009170	CTD	C0025261
C0011777	CTD	C0025261
C0028040	CTD	C0025261
C0008405	CTD	C0025261
C0020268	CTD	C0025261
C0013090	CTD	C0025261
C0012963	CTD	C0878544
C0001962	CTD	C0878544
C0001927	CTD	C0878544
C0042523	CTD	C0878544
C0023870	CTD	C0878544
C0002598	CTD	C0878544
C0039840	CTD	C0878544
C0009170	CTD	C0878544
C0008838	CTD	C0878544
C0009079	CTD	C0878544
C0031495	CTD	C0878544
C0020934	CTD	C0878544
C0538927	CTD	C1257915
C0042839	CTD	C0015397
C0001962	CTD	C0006434
C0021246	CTD	C0006434
C0000970	CTD	C0393735
C0016860	CTD	C0020639
C0032952	CTD	C0036202
C0039736	CTD	C0036202
C0002598	CTD	C0040156
C0033497	CTD	C0040156
C0006983	CTD	C0040156
C0033511	CTD	C0040156
C0040165	CTD	C0040156
C0032831	CTD	C0040156
C0010583	CTD	C0273115
C0025815	CTD	C0273115
C0011777	CTD	C0273115
C0289313	CTD	C0273115
C0064113	CTD	C0040261
C0076110	CTD	C0040261
C0016277	CTD	C0040261
C0018242	CTD	C0040261
C0025942	CTD	C0040261
C0014912	CTD	C0015695
C0033228	CTD	C0015695
C0008286	CTD	C0015695
C0085149	CTD	C0015695
C0289313	CTD	C0015695
C0039286	CTD	C0015695
C0008405	CTD	C0015695
C0031412	CTD	C0015695
C0248719	CTD	C0015695
C0069717	CTD	C0015695
C0123931	CTD	C0015695
C0035608	CTD	C0015695
C0020740	CTD	C0015695
C0042874	CTD	C0015695
C0005330	CTD	C0015695
C0014563	CTD	C0018794
C0039771	CTD	C0018794
C0018549	CTD	C0018794
C0012373	CTD	C0018794
C0039943	CTD	C0018794
C0032950	CTD	C0018794
C0004147	CTD	C0018794
C0020934	CTD	C0018794
C0033497	CTD	C0018794
C0034414	CTD	C0018794
C0008269	CTD	C0018794
C0022245	CTD	C0018794
C0040805	CTD	C0018794
C0025853	CTD	C0018794
C0023660	CTD	C0018794
C0004259	CTD	C0018794
C0033216	CTD	C0018794
C0016229	CTD	C0018794
C0009014	CTD	C0018794
C1176309	CTD	C0149678
C0012963	CTD	C0020649
C0016860	CTD	C0020649
C0035661	CTD	C0020649
C0027996	CTD	C0020649
C0001962	CTD	C0020649
C0024002	CTD	C0020649
C0074722	CTD	C0020649
C0001927	CTD	C0020649
C0031923	CTD	C0020649
C0042523	CTD	C0020649
C0039542	CTD	C0020649
C0023870	CTD	C0020649
C0040233	CTD	C0020649
C0022209	CTD	C0020649
C0009010	CTD	C0020649
C0039771	CTD	C0020649
C0042291	CTD	C0020649
C0002598	CTD	C0020649
C0018549	CTD	C0020649
C0012373	CTD	C0020649
C0025815	CTD	C0020649
C0008838	CTD	C0020649
C0144576	CTD	C0020649
C0038803	CTD	C0020649
C0011777	CTD	C0020649
C0008286	CTD	C0020649
C0004147	CTD	C0020649
C0009079	CTD	C0020649
C0028040	CTD	C0020649
C0028420	CTD	C0020649
C0073393	CTD	C0020649
C0020268	CTD	C0020649
C0024480	CTD	C0020649
C0002600	CTD	C0020649
C0717550	CTD	C0020649
C0031412	CTD	C0020649
C0248719	CTD	C0020649
C0020934	CTD	C0020649
C0023570	CTD	C0020649
C0030310	CTD	C0020649
C0026187	CTD	C0020649
C0007257	CTD	C0020649
C0008168	CTD	C0020649
C0012772	CTD	C0020649
C0000981	CTD	C0522224
C0038627	CTD	C0522224
C0006400	CTD	C0522224
C0042523	CTD	C0522224
C0010711	CTD	C0522224
C0032952	CTD	C0522224
C0020268	CTD	C0522224
C0024480	CTD	C0522224
C0030310	CTD	C0522224
C0165032	CTD	C0009663
C0032334	CTD	C0009663
C0009170	CTD	C1261287
C0144576	CTD	C1261287
C0072980	CTD	C1261287
C0010711	CTD	C0038362
C0023413	CTD	C0038362
C0717550	CTD	C0038362
C0246415	CTD	C0038362
C0025677	CTD	C0038362
C0013089	CTD	C0038362
C0541315	CTD	C0038362
C0006463	CTD	C0038362
C0671970	CTD	C0038362
C0012091	CTD	C0021368
C0027996	CTD	C0021368
C0000970	CTD	C0021368
C0006400	CTD	C0021368
C0014563	CTD	C0021368
C0004057	CTD	C0021368
C0031923	CTD	C0021368
C0033487	CTD	C0021368
C0039771	CTD	C0021368
C0002598	CTD	C0021368
C0376637	CTD	C0021368
C0009170	CTD	C0021368
C0016360	CTD	C0021368
C0032952	CTD	C0021368
C0011777	CTD	C0021368
C0002144	CTD	C0021368
C0071097	CTD	C0021368
C0030817	CTD	C0021368
C0023791	CTD	C0021368
C0032950	CTD	C0021368
C0040845	CTD	C0021368
C0289313	CTD	C0021368
C0039601	CTD	C0021368
C0039286	CTD	C0021368
C0002600	CTD	C0021368
C0717550	CTD	C0021368
C0072980	CTD	C0021368
C0048044	CTD	C0041341
C0039601	CTD	C0020619
C2974289	CTD	C0020619
C0026549	CTD	C0020619
C0006230	CTD	C0020619
