head_UMLS_CUI	relation	tail_UMLS_CUI
C0042164	NDFRT	C1814029
C0018482	NDFRT	C1327690
C2730005	NDFRT	C0037278
C0428977	NDFRT	C1876857
C0030567	NDFRT	C1722267
C0006035	NDFRT	C1168668
C0033860	NDFRT	C0981798
C0037199	NDFRT	C0974347
C0038358	NDFRT	C0052993
C0005943	NDFRT	C0980743
C0036341	NDFRT	C0024057
C2917464	NDFRT	C0038034
C0043515	NDFRT	C0777354
C0027947	NDFRT	C0216231
C0010346	NDFRT	C1364307
C0016509	NDFRT	C1968003
C0019360	NDFRT	C0771309
C0020517	NDFRT	C0669253
C0001623	NDFRT	C0993184
C0977857	NDFRT	C0037299
C0039240	NDFRT	C0979484
C0152020	NDFRT	C0978601
C0920350	NDFRT	C3265347
C0010520	NDFRT	C0689280
C0042487	NDFRT	C0775083
C0003578	NDFRT	C0690479
C0042514	NDFRT	C4081218
C0001623	NDFRT	C1167570
C0004623	NDFRT	C0688221
C0014121	NDFRT	C0980955
C0007684	NDFRT	C0977099
C0085437	NDFRT	C0975417
C0020625	NDFRT	C1996469
C0033740	NDFRT	C0542998
C0036508	NDFRT	C0991740
C0019829	NDFRT	C4048562
C0021099	NDFRT	C0975427
C0024141	NDFRT	C3475343
C0018834	NDFRT	C0688334
C0004096	NDFRT	C1967738
C0015967	NDFRT	C0691131
C0009062	NDFRT	C0007555
C0004352	NDFRT	C1699036
C4477433	NDFRT	C0002736
C0004096	NDFRT	C0980594
C0039240	NDFRT	C1161475
C0973784	NDFRT	C0036572
C0001623	NDFRT	C0980812
C0873024	NDFRT	C0038395
C0011633	NDFRT	C0979686
C0023443	NDFRT	C0702984
C0022729	NDFRT	C0055015
C0042963	NDFRT	C3531688
C0020456	NDFRT	C0977837
C0026837	NDFRT	C0689481
C0018794	NDFRT	C4082880
C0006846	NDFRT	C1347741
C0149778	NDFRT	C0975440
C0029927	NDFRT	C0701919
C0007398	NDFRT	C0689399
C0015456	NDFRT	C0977607
C0003872	NDFRT	C0705898
C0034012	NDFRT	C0025826
C0033775	NDFRT	C0689109
C0014121	NDFRT	C0282052
C0011991	NDFRT	C3244877
C0018790	NDFRT	C0974649
C0015404	NDFRT	C0975518
C0029458	NDFRT	C1321195
C0525046	NDFRT	C1329874
C0018802	NDFRT	C0690397
C3847980	NDFRT	C0003873
C0016509	NDFRT	C0358980
C0037199	NDFRT	C0974353
C0040156	NDFRT	C0710135
C0979406	NDFRT	C0038587
C0039240	NDFRT	C1298492
C1589753	NDFRT	C0033817
C0006818	NDFRT	C0975676
C0162316	NDFRT	C0691424
C1458155	NDFRT	C0978895
C0018190	NDFRT	C3883334
C2920441	NDFRT	C0011991
C0033774	NDFRT	C0976540
C0040425	NDFRT	C0975387
C0027051	NDFRT	C0709738
C0029408	NDFRT	C0690432
C0994521	NDFRT	C0038358
C0033860	NDFRT	C0974950
C0428977	NDFRT	C0690494
C1263846	NDFRT	C3154597
C0029882	NDFRT	C0790321
C0001818	NDFRT	C1576462
C0040425	NDFRT	C0975400
C0009443	NDFRT	C0981181
C0021099	NDFRT	C0975425
C0001144	NDFRT	C0976710
C0034530	NDFRT	C0981520
C0018081	NDFRT	C0690468
C1572591	NDFRT	C0006277
C0026936	NDFRT	C0993191
C0024299	NDFRT	C0705898
C0005586	NDFRT	C1874876
C0003469	NDFRT	C0025678
C0027497	NDFRT	C0980646
C0042029	NDFRT	C1161474
C3859719	NDFRT	C0042514
C0033700	NDFRT	C0052585
C0004096	NDFRT	C1591437
C0977118	NDFRT	C0014118
C0014863	NDFRT	C0979039
C0038160	NDFRT	C4048343
C0018916	NDFRT	C0981522
C0020621	NDFRT	C0687831
C4081344	NDFRT	C0011615
C0001175	NDFRT	C0693255
C0040136	NDFRT	C0977853
C0162316	NDFRT	C0976908
C0688493	NDFRT	C0001403
C0022729	NDFRT	C1720695
C0006434	NDFRT	C4081218
C0035793	NDFRT	C3888301
C0004096	NDFRT	C4057844
C1875889	NDFRT	C0015544
C1572400	NDFRT	C0025295
C0014547	NDFRT	C0024002
C0038587	NDFRT	C2365898
C3200101	NDFRT	C0018482
C0032227	NDFRT	C1177631
C0013395	NDFRT	C1342680
C0026764	NDFRT	C4059408
C0009324	NDFRT	C1177389
C0004669	NDFRT	C0379881
C4048805	NDFRT	C0524910
C1522690	NDFRT	C0023467
C0008149	NDFRT	C0976713
C0004623	NDFRT	C0873024
C0011389	NDFRT	C1298430
C0038160	NDFRT	C0016855
C0008149	NDFRT	C0688768
C0004239	NDFRT	C0690724
C0029983	NDFRT	C0085437
C0039128	NDFRT	C0980545
C0688958	NDFRT	C0014118
C0017168	NDFRT	C0715695
C0085096	NDFRT	C0010525
C0039236	NDFRT	C4081218
C0238417	NDFRT	C3247296
C0022180	NDFRT	C0011581
C0011603	NDFRT	C0976838
C0428977	NDFRT	C1814027
C0026948	NDFRT	C0025677
C0033817	NDFRT	C4281839
C0029408	NDFRT	C0691133
C0039614	NDFRT	C0975603
C0011175	NDFRT	C0982875
C0010072	NDFRT	C0977411
C1576463	NDFRT	C0001818
C0042029	NDFRT	C1720695
C0600142	NDFRT	C0688788
C0018889	NDFRT	C0978357
C2702455	NDFRT	C0027497
C0034065	NDFRT	C3872140
C0080233	NDFRT	C0980253
C0018482	NDFRT	C0975366
C0037188	NDFRT	C0774462
C0026918	NDFRT	C0977971
C1263846	NDFRT	C2365902
C0027121	NDFRT	C0007248
C1112209	NDFRT	C0004521
C0038395	NDFRT	C4048441
C0002395	NDFRT	C1576508
C0974335	NDFRT	C0014121
C1269683	NDFRT	C0976980
C0013295	NDFRT	C0052993
C0035243	NDFRT	C0689861
C0018802	NDFRT	C4082673
C0975486	NDFRT	C0041948
C0024141	NDFRT	C0980812
C0019080	NDFRT	C3247701
C4529892	NDFRT	C0001144
C0790769	NDFRT	C0003868
C0014549	NDFRT	C0979451
C0020476	NDFRT	C0975463
C0023219	NDFRT	C0981482
C0026948	NDFRT	C0164613
C0005586	NDFRT	C1572577
C0013395	NDFRT	C2930042
C1967129	NDFRT	C0014836
C0034065	NDFRT	C0593787
C0042134	NDFRT	C1646068
C0042164	NDFRT	C0690616
C3555176	NDFRT	C0011608
C0002438	NDFRT	C0205881
C0035585	NDFRT	C0039644
C0030193	NDFRT	C3892219
C0023219	NDFRT	C0977625
C0002962	NDFRT	C1171394
C0035455	NDFRT	C0691968
C2609950	NDFRT	C0033860
C1329127	NDFRT	C0600142
C0236964	NDFRT	C0688308
C0006118	NDFRT	C2315416
C0017168	NDFRT	C0777354
C0020542	NDFRT	C4271111
C0796545	NDFRT	C0006118
C0021368	NDFRT	C0282131
C0020517	NDFRT	C1095902
C0033774	NDFRT	C1968003
C1572403	NDFRT	C0007166
C1956346	NDFRT	C0978957
C0021368	NDFRT	C1960406
C0149778	NDFRT	C0975387
C0013221	NDFRT	C0979907
C0002395	NDFRT	C0980464
C0026769	NDFRT	C0708314
C0017168	NDFRT	C3496858
C0014836	NDFRT	C0724517
C0017612	NDFRT	C0976675
C0038160	NDFRT	C0007552
C0006057	NDFRT	C0006044
C0020456	NDFRT	C4521519
C0030193	NDFRT	C0691189
C0025322	NDFRT	C1177094
C0018133	NDFRT	C0663182
C1700685	NDFRT	C0030297
C0024473	NDFRT	C0991706
C0039240	NDFRT	C1329326
C0937296	NDFRT	C0026837
C0010037	NDFRT	C0980197
C0009326	NDFRT	C0782048
C0018567	NDFRT	C0690625
C0020538	NDFRT	C0700548
C0010200	NDFRT	C0977292
C0038160	NDFRT	C0282105
C0011860	NDFRT	C4521518
C0037299	NDFRT	C0009053
C0011991	NDFRT	C0872954
C0038160	NDFRT	C3833244
C0026764	NDFRT	C4083190
C0980812	NDFRT	C0006266
C0037036	NDFRT	C0304422
C0027726	NDFRT	C0688315
C0003873	NDFRT	C0690622
C0011175	NDFRT	C4282057
C0027051	NDFRT	C1968016
C0018834	NDFRT	C2608718
C3535700	NDFRT	C0026976
C0014175	NDFRT	C1952575
C0018190	NDFRT	C0976557
C0001144	NDFRT	C0980475
C0036271	NDFRT	C0689023
C0036341	NDFRT	C3249370
C0006035	NDFRT	C1696546
C0690207	NDFRT	C0040127
C0238111	NDFRT	C2701084
C0004238	NDFRT	C0976941
C0016167	NDFRT	C0785949
C0027947	NDFRT	C0692824
C0011615	NDFRT	C0981777
C0021368	NDFRT	C0689020
C0979947	NDFRT	C0043515
C0018939	NDFRT	C4082214
C0036983	NDFRT	C4046831
C0005586	NDFRT	C0937712
C0027854	NDFRT	C0978592
C0020538	NDFRT	C0689200
C0282104	NDFRT	C0010692
C0872962	NDFRT	C0018081
C0038013	NDFRT	C0977715
C0021368	NDFRT	C0688486
C0030193	NDFRT	C4049097
C0001723	NDFRT	C0688372
C0032914	NDFRT	C3888182
C0020598	NDFRT	C3883591
C2947541	NDFRT	C0020676
C0042029	NDFRT	C0979327
C0034530	NDFRT	C0779011
C0017612	NDFRT	C0976671
C0038160	NDFRT	C0976024
C2747344	NDFRT	C0027145
C0042109	NDFRT	C0054120
C0790477	NDFRT	C0016509
C0020619	NDFRT	C0939648
C0003811	NDFRT	C3714665
C0027497	NDFRT	C2343194
C3197998	NDFRT	C3714509
C0004576	NDFRT	C0776499
C0003811	NDFRT	C0016157
C1263846	NDFRT	C4082919
C0025202	NDFRT	C0005739
C0018482	NDFRT	C1720695
C0035220	NDFRT	C0105750
C0975605	NDFRT	C0027497
C0020621	NDFRT	C0979687
C0977659	NDFRT	C0010200
C0040136	NDFRT	C2683922
C0020476	NDFRT	C0693627
C0030193	NDFRT	C0008846
C0013604	NDFRT	C3153488
C0979917	NDFRT	C0525046
C0030201	NDFRT	C0594395
C0027412	NDFRT	C0978503
C0040259	NDFRT	C0980273
C0011854	NDFRT	C4074422
C0005699	NDFRT	C0778841
C0162627	NDFRT	C0975440
C0980542	NDFRT	C0006818
C0004626	NDFRT	C0700445
C0020538	NDFRT	C2721781
C0020538	NDFRT	C0979298
C0004238	NDFRT	C0980970
C0042963	NDFRT	C0980848
C0525046	NDFRT	C3537628
C0066101	NDFRT	C0042109
C0002395	NDFRT	C0976472
C0029463	NDFRT	C3194954
C0004096	NDFRT	C1163864
C0033700	NDFRT	C0991657
C0003469	NDFRT	C0688242
C0162526	NDFRT	C0028741
C0037299	NDFRT	C0977844
C0016509	NDFRT	C0360534
C0978967	NDFRT	C0030783
C0009324	NDFRT	C0357997
C0018889	NDFRT	C0029994
C1263846	NDFRT	C0980966
C0014836	NDFRT	C0007738
C0689155	NDFRT	C0003469
C0039240	NDFRT	C1712083
C0525046	NDFRT	C1874878
C0018081	NDFRT	C0007555
C0039590	NDFRT	C0005739
C0033700	NDFRT	C0355979
C0151636	NDFRT	C3531431
C0038160	NDFRT	C2946952
C0004623	NDFRT	C0282356
C0536495	NDFRT	C0018081
C0020538	NDFRT	C0977031
C0036508	NDFRT	C0784729
C0006849	NDFRT	C0975748
C0001175	NDFRT	C3554848
C1263846	NDFRT	C1165189
C0022661	NDFRT	C0773054
C0028754	NDFRT	C0979425
C0020598	NDFRT	C0688101
C0005138	NDFRT	C0978592
C0028754	NDFRT	C0979439
C0006840	NDFRT	C1168765
C0037769	NDFRT	C0590816
C0021368	NDFRT	C0688924
C0149931	NDFRT	C0886883
C0003873	NDFRT	C0976045
C0005310	NDFRT	C0033775
C0004261	NDFRT	C0020458
C0034410	NDFRT	C0029458
C3191840	NDFRT	C0525045
C0033817	NDFRT	C0980743
C0034065	NDFRT	C3856150
C0033740	NDFRT	C0980550
C0600142	NDFRT	C1321195
C0040156	NDFRT	C0981752
C0009766	NDFRT	C0043443
C0003873	NDFRT	C4256557
C0009806	NDFRT	C0974986
C0015456	NDFRT	C0977606
C0009324	NDFRT	C1161470
C0687973	NDFRT	C0019521
C0013336	NDFRT	C1740152
C0038220	NDFRT	C0688562
C0014544	NDFRT	C0794688
C0011860	NDFRT	C1585434
C0006266	NDFRT	C1168688
C0020517	NDFRT	C0974103
C0001957	NDFRT	C2346395
C0001144	NDFRT	C0980477
C0025323	NDFRT	C0689173
C0016167	NDFRT	C4281900
C0009806	NDFRT	C0982348
C0026769	NDFRT	C0979749
C0707543	NDFRT	C0018021
C0026764	NDFRT	C0593978
C0003873	NDFRT	C4476349
C0033975	NDFRT	C0355173
C1329317	NDFRT	C0014849
C1263846	NDFRT	C1329854
C0013295	NDFRT	C0979728
C0689911	NDFRT	C0010691
C0689326	NDFRT	C0016412
C0782175	NDFRT	C0011991
C0978519	NDFRT	C0011615
C0030193	NDFRT	C0976540
C0041976	NDFRT	C1762246
C0162565	NDFRT	C0692172
C0011616	NDFRT	C1178166
C0243026	NDFRT	C1145601
C0006444	NDFRT	C4306498
C0033860	NDFRT	C1572365
C0030193	NDFRT	C0688370
C0037278	NDFRT	C0979285
C0038160	NDFRT	C4048440
C1263846	NDFRT	C0772636
C0692671	NDFRT	C0023290
C0039240	NDFRT	C0688618
C0004096	NDFRT	C0354764
C0001206	NDFRT	C0981641
C0015456	NDFRT	C0701779
C0014121	NDFRT	C0688354
C0018790	NDFRT	C3887756
C0032897	NDFRT	C0939175
C0034530	NDFRT	C2726346
C0005100	NDFRT	C0030756
C0005586	NDFRT	C1996426
C0038814	NDFRT	C0976334
C0015404	NDFRT	C0693579
C0033817	NDFRT	C0980889
C0011881	NDFRT	C0975229
C0040997	NDFRT	C0980741
C0027051	NDFRT	C3199970
C0027051	NDFRT	C0731972
C0018567	NDFRT	C0689119
C0033774	NDFRT	C0688670
C0011854	NDFRT	C4026351
C0021400	NDFRT	C2722692
C0042510	NDFRT	C1965285
C0009062	NDFRT	C0688465
C0084273	NDFRT	C0024535
C0033975	NDFRT	C0783303
C0029878	NDFRT	C0974175
C0018567	NDFRT	C0688021
C0011880	NDFRT	C0724601
C0038436	NDFRT	C4048738
C0011581	NDFRT	C4026042
C0038814	NDFRT	C3858018
C0018567	NDFRT	C0977625
C3500544	NDFRT	C0042029
C0027726	NDFRT	C0980820
C0020621	NDFRT	C0979663
C0011603	NDFRT	C1655767
C0875292	NDFRT	C0085096
C0033774	NDFRT	C0689158
C0043251	NDFRT	C1509787
C0037199	NDFRT	C0775753
C0042109	NDFRT	C0354870
C0009806	NDFRT	C0782890
C0004096	NDFRT	C4306272
C0038587	NDFRT	C0694021
C0001126	NDFRT	C0772951
C0977632	NDFRT	C0019112
C0693235	NDFRT	C0013221
C0007785	NDFRT	C0691143
C0004623	NDFRT	C0977106
C0014836	NDFRT	C0978926
C0040038	NDFRT	C0977431
C0026946	NDFRT	C0688387
C0690418	NDFRT	C0024530
C0010520	NDFRT	C0978005
C0020456	NDFRT	C0716500
