id,UMLS_ID,name
1694,C0000340,cyp27b1
2002,C0000378,droxidopa
1740,C0000477,dalfampridine
3262,C0000545,icosapent
336,C0000608,aminocaproic acid
4110,C0000618,mercaptopurine
1897,C0000658,dihomo gamma linolenic acid
38,C0000737,abdominal pain
1490,C0000768,congenital abnormalities
45,C0000771,abnormalities drug induced
46,C0000772,abnormalities multiple
49,C0000786,abortion spontaneous
48,C0000809,abortion habitual
66,C0000946,acebutolol
67,C0000956,acenocoumarol
68,C0000959,acepromazine
70,C0000970,acetaminophen
71,C0000981,acetazolamide
72,C0000983,acetic acid
75,C0001040,acetylcarnitine
79,C0001044,ache
76,C0001047,acetylcysteine
4406,C0001056,n acetyl d glucosamine
80,C0001080,achondroplasia
82,C0001122,acidosis
86,C0001144,acne vulgaris
2648,C0001173,gastric outlet obstruction
94,C0001175,acquired immunodeficiency syndrome
97,C0001197,acrodermatitis
6342,C0001268,spectinomycin
81,C0001367,aciclovir
150,C0001403,addison disease
152,C0001407,adenine
453,C0001414,aprt
154,C0001430,adenoma
157,C0001443,adenosine
947,C0001455,camp
158,C0001465,adenosine monophosphate
168,C0001576,adnexal diseases
185,C0001618,adrenal cortex neoplasms
187,C0001623,adrenal insufficiency
186,C0001624,adrenal gland neoplasms
189,C0001627,adrenogenital syndrome
5275,C0001714,polymyxin b sulfate
196,C0001733,afibrinogenemia
199,C0001768,agammaglobulinemia
206,C0001818,agoraphobia
226,C0001888,ajmaline
3669,C0001898,l alanine
2852,C0001899,gpt
250,C0001911,albendazole
251,C0001916,albinism
5901,C0001927,salbutamol
2254,C0001962,ethanol
256,C0001973,alcoholism
278,C0002026,alfentanil
290,C0002063,alkalosis
292,C0002144,allopurinol
293,C0002158,allylestrenol
294,C0002164,almitrine
197,C0002210,afp
309,C0002333,alprazolam
310,C0002334,alprenolol
311,C0002335,alprostadil
315,C0002367,aluminium
321,C0002395,alzheimer disease
323,C0002403,amantadine
324,C0002412,ambenonium
5178,C0002436,pivmecillinam
327,C0002438,amebiasis
329,C0002453,amenorrhea
126,C0002456,ada
4215,C0002475,mitomycin
333,C0002499,amikacin
334,C0002502,amiloride
